Textos_espanol,sdg
se basa en los nueve años de educación básica seis de primaria y tres de secundaria los alumnos que acceden al segundo ciclo de secundaria pueden ir a un centro de orientación más académica o a un centro de formación profesional esto se aplica tanto en el sistema islámico como en el no islámico la enseñanza secundaria superior formal comprende la enseñanza general sekolah menengah atas o sma la enseñanza profesional sekolah menengah kejuruan o smk las escuelas secundarias superiores islámicas madrasah aliyah o ma y la enseñanza profesional islámica madrasah aliyah kejuruan o mak este capítulo se centra principalmente en la enseñanza secundaria superior académica mientras que el capítulo 5 trata de la formación profesional se está trabajando en el desarrollo de colegios comunitarios y vías alternativas de acceso a la enseñanza superior ,4
en la última década y en particular desde 2010 el número de altas per cápita ha tendido a disminuir y ahora está en línea con la media de la ocde mencionada anteriormente por ejemplo los habitantes de zonas rurales representan el 43 de la población pero sólo el 32 de las altas hospitalarias a falta de información complementaria no es posible determinar si esta diferencia indica o no disparidades en el acceso de las poblaciones rurales y en caso afirmativo si las causas son geográficas culturales o infraestructurales no parece que se recojan datos sobre el acceso a la atención desde el punto de vista del paciente lo que ayudaría a comprender la naturaleza de los obstáculos al acceso y las soluciones en general no es posible determinar con los datos disponibles si los ingresos o las características socioeconómicas de los pacientes influyen a la hora de llegar a las puertas del hospital o de ser ingresado el acceso desigual probablemente se deba también a la incapacidad de los centros de las distintas regiones para prestar los mismos servicios ,3
asã por ejemplo el estigma asociado a los beneficiarios de prestaciones sociales o a los pobres aumenta su desventaja del mismo modo los errores de dignidad y reconocimiento pueden causar desventajas54 la infravaloración del trabajo de las mujeres es un error de reconocimiento que causa directamente desventajas socioeconómicas por lo que el derecho a la igualdad de retribución por un trabajo de igual valor es una sãntesis importante de las dos primeras dimensiones del derecho a la igualdad reparar la desventaja y abordar el estigma y los estereotipos tanto el comité de derechos económicos sociales y culturales como el comité para la eliminación de la discriminación contra la mujer han dado este paso directrices para la presentación de informes párrafo 29 cdesc ecuador op cit ,5
hay muchos profesores no cualificados en las escuelas ya que es difícil contratar a profesores cualificados un indicio del reconocimiento del importante papel de los profesores en este contexto es la inclusión por alberta de preguntas adicionales en la encuesta internacional sobre la enseñanza y el aprendizaje de la ocde de 2018 relativas a la comprensión por parte de los profesores y los lãderes escolares de cuestiones relacionadas con las culturas indãgenas la historia y el trabajo con alumnos indãgenas asà como sobre el desarrollo profesional pertinente el enfoque holãstico de los pueblos indãgenas hace hincapié en lo mucho que estos contribuyen al bienestar general de los niños asà como al de todos los demás además de factores como las ventajas y desventajas materiales el trauma sufrido por los pueblos indígenas incluso a través del sistema de escuelas residenciales todavía es sentido agudamente por muchos de hecho se nos dijo que los síntomas del trauma pueden aumentar en lugar de disminuir con el paso del tiempo exacerbados por las relaciones intergeneracionales frente a este panorama más amplio pueden comprenderse mejor los estudios específicos de determinadas provincias y territorios y la comparación entre jóvenes indígenas y no indígenas freeman king y pickett 2016 ,4
a raíz de su preocupación por el hecho de que los médicos de todo el sistema sanitario japonés no fueran capaces de identificar los signos de sufrimiento psicológico que podrían ayudar a reducir los suicidios la asociación médica japonesa informa de que empezó a compartir información y orientaciones sobre la depresión con todos los médicos primero en 2004 y luego de nuevo en 2009 en la actualidad sólo se recogen indicadores sobre la tasa de reclusión y contención y de ingresos involuntarios por parte de los proveedores y a nivel prefectural la información recopilada sistemáticamente sobre el sistema de atención de salud mental se limita a indicadores estructurales instalaciones número de personal número de camas ,3
hay que eliminar las prácticas discriminatorias de las instituciones financieras como el requisito de que los hombres firmen los documentos de las mujeres pero las instituciones financieras formales tienen que hacer algo más que reducir las barreras de entrada a las mujeres micropropietarias deben mejorar su rendimiento a la hora de financiar el crecimiento de las empresas propiedad de mujeres ,5
los centros de educación básica alternativa eba ofrecen tres años con un plan de estudios alternativo en sustitución de los cuatro años que dura el primer ciclo ordinario de primaria el nivel secundario consta de dos ciclos de dos años cada uno 9 10 y 1112 los que completan diez años de escolaridad pueden acceder al segundo ciclo para prepararse para la enseñanza superior o ingresar en centros de eftp para recibir formación para un empleo productivo véase la figura 81 ,4
el uso de estadísticas de género puede proporcionar una comprensión más completa de las dimensiones de género de la pobreza lo que a su vez puede cambiar significativamente las prioridades en las intervenciones políticas y programáticas klugman 2002 las estadísticas de género pueden abordar múltiples dimensiones de la pobreza y la desigualdad incluida la desigualdad de activos basada en el género la asignación de recursos dentro del hogar la pobreza de tiempo o la vulnerabilidad a los choques externos comprender la naturaleza de género de la pobreza mejorará significativamente tanto la equidad como la eficacia de las estrategias de reducción de la pobreza klugman 2002 las estadísticas de género desempeñan un papel importante en el desarrollo y el seguimiento de las políticas de reducción de la violencia contra las mujeres ,5
cabe preguntarse sin embargo si los alumnos con más talento del país asisten a estos centros ya que los estudiantes desfavorecidos tienen un acceso más limitado a las clases extraescolares para prepararse para la admisión además la proporción de alumnos con mejores resultados en las evaluaciones internacionales sigue siendo muy pequeña mientras que un gran número se queda rezagado con respecto a sus compañeros de otros países los sistemas educativos que mejoran más rápidamente en pisa muestran que las mejoras en la parte superior e inferior de la escala de rendimiento pueden ir de la mano ,4
a pesar de que hay más pensionistas mujeres que hombres los ingresos totales de las pensionistas son inferiores a los de los hombres asub 2014 5 en 2011 la pensión media de las mujeres era de 1220 euros al mes frente a los 1744 euros de los hombres asub 2013 23 en el informe de la asub 201321 puede encontrarse un examen más detallado de la diferencia salarial medida sobre la base de diferentes principios y parámetros ,5
